,hotel_names,city_names,counrtys,contenantels,ratings,reviews
371,petropolis,rio de janeiro,brazil,south america,nan,
372,três rios,rio de janeiro,brazil,south america,nan,
373,ibis Belo Horizonte Afonso Pena,minas gerais,brazil,south america,(4.0),991
374,Ibis Budget Patos de Minas,minas gerais,brazil,south america,(3.5),33
375,ibis Guaxupé,minas gerais,brazil,south america,nan,
376,ibis budget Belo Horizonte Afonso Pena,minas gerais,brazil,south america,(4.0),1505
377,ibis Uberaba,minas gerais,brazil,south america,(3.5),563
378,Novotel BH Savassi,minas gerais,brazil,south america,(4.5),288
379,Mercure Belo Horizonte Lourdes,minas gerais,brazil,south america,(4.0),3179
380,Mercure Belo Horizonte Savassi,minas gerais,brazil,south america,(4.0),637
381,Caesar Business Belo Horizonte Belvedere,minas gerais,brazil,south america,(4.0),889
382,ibis budget BH Savassi,minas gerais,brazil,south america,nan,
383,Mercure Uberlandia Plaza Shopping,minas gerais,brazil,south america,(4.5),1049
384,Ibis Styles Confins Airport,minas gerais,brazil,south america,(3.5),75
385,belo horizonte,minas gerais,brazil,south america,nan,
386,uberlandia,minas gerais,brazil,south america,nan,
387,lagoa santa,minas gerais,brazil,south america,nan,
388,pocos de caldas,minas gerais,brazil,south america,nan,
389,contagem,minas gerais,brazil,south america,nan,
390,betim,minas gerais,brazil,south america,nan,
391,montes claros,minas gerais,brazil,south america,nan,
392,juiz de fora,minas gerais,brazil,south america,nan,
393,uberaba,minas gerais,brazil,south america,nan,
394,itaúna,minas gerais,brazil,south america,nan,
395,barbacena,minas gerais,brazil,south america,nan,
396,divinopolis,minas gerais,brazil,south america,nan,
397,ibis Curitiba Shopping,paraná,brazil,south america,(4.0),2913
398,ibis Styles Curitiba Centro Cívico,paraná,brazil,south america,(4.0),1345
399,ibis Maringa,paraná,brazil,south america,(4.0),1195
400,ibis Londrina Shopping,paraná,brazil,south america,(4.0),562
401,Grand Mercure Curitiba Rayon,paraná,brazil,south america,nan,
402,ibis Paranagua,paraná,brazil,south america,(4.5),130
403,ibis budget Curitiba Centro,paraná,brazil,south america,(3.5),2403
404,ibis budget Maringa,paraná,brazil,south america,(3.5),461
405,ibis budget Curitiba Aeroporto,paraná,brazil,south america,(4.0),183
406,ibis Curitiba Batel,paraná,brazil,south america,(4.0),2061
407,Novotel Curitiba Batel,paraná,brazil,south america,(4.5),733
408,ibis Foz Do Iguacu,paraná,brazil,south america,(4.0),1740
409,foz do iguacu,paraná,brazil,south america,nan,
410,cascavel,paraná,brazil,south america,nan,
411,paranagua,paraná,brazil,south america,nan,
412,guarapuava,paraná,brazil,south america,nan,
413,curitiba,paraná,brazil,south america,nan,
414,londrina,paraná,brazil,south america,nan,
415,ponta grossa,paraná,brazil,south america,nan,
416,maringa,paraná,brazil,south america,nan,
417,sao jose dos pinhais,paraná,brazil,south america,nan,
418,Mercure Camboriu Hotel,santa catarina,brazil,south america,(4.0),2449
419,ibis Florianopolis,santa catarina,brazil,south america,(4.0),2511
420,ibis Styles Balneario Camboriu,santa catarina,brazil,south america,(4.5),1139
421,Novotel Florianópolis,santa catarina,brazil,south america,(4.0),1591
422,Mercure Florianópolis,santa catarina,brazil,south america,(4.0),1426
423,Mercure Itajaí Navegantes,santa catarina,brazil,south america,(4.0),179
424,ibis Sao Jose,santa catarina,brazil,south america,(4.0),982
425,ibis Blumenau,santa catarina,brazil,south america,(4.0),1303
426,Ibis budget Blumenau,santa catarina,brazil,south america,(3.5),227
427,ibis Navegantes Itajai,santa catarina,brazil,south america,(3.5),934
428,ibis Joinville,santa catarina,brazil,south america,(4.0),853
429,Novotel Criciuma,santa catarina,brazil,south america,nan,
430,florianopolis,santa catarina,brazil,south america,nan,
431,balneario camboriu,santa catarina,brazil,south america,nan,
432,itajai,santa catarina,brazil,south america,nan,
433,blumenau,santa catarina,brazil,south america,nan,
434,sao jose,santa catarina,brazil,south america,nan,
435,joinville,santa catarina,brazil,south america,nan,
436,criciuma,santa catarina,brazil,south america,nan,
437,jaragua do sul,santa catarina,brazil,south america,nan,
438,chapeco,santa catarina,brazil,south america,nan,
439,palhoça,santa catarina,brazil,south america,nan,
440,santa catarina,santa catarina,brazil,south america,nan,
441,ibis budget Porto Alegre,rio grande do sul,brazil,south america,(3.5),1335
442,ibis Porto Alegre Aeroporto,rio grande do sul,brazil,south america,(3.5),1680
443,Novotel Porto Alegre Airport,rio grande do sul,brazil,south america,(4.0),1745
444,Novotel Porto Alegre Tres Figueiras,rio grande do sul,brazil,south america,(4.0),915
445,ibis Porto Alegre Assis Brasil,rio grande do sul,brazil,south america,(4.0),357
446,ibis Porto Alegre Moinhos de Vento,rio grande do sul,brazil,south america,(4.0),1957
447,ibis Styles Porto Alegre Centro,rio grande do sul,brazil,south america,(4.0),914
448,ibis Passo Fundo Centro,rio grande do sul,brazil,south america,(3.5),575
449,ibis Styles Porto Alegre Moinhos de Vento,rio grande do sul,brazil,south america,nan,
450,ibis Caxias do Sul,rio grande do sul,brazil,south america,(4.0),1061
451,ibis Igrejinha,rio grande do sul,brazil,south america,(4.5),83
452,ibis Guaiba,rio grande do sul,brazil,south america,(4.0),45
453,porto alegre,rio grande do sul,brazil,south america,nan,
454,passo fundo,rio grande do sul,brazil,south america,nan,
455,caxias do sul,rio grande do sul,brazil,south america,nan,
456,igrejinha,rio grande do sul,brazil,south america,nan,
457,guaiba,rio grande do sul,brazil,south america,nan,
458,canoas,rio grande do sul,brazil,south america,nan,
459,novo hamburgo,rio grande do sul,brazil,south america,nan,
460,carlos barbosa,rio grande do sul,brazil,south america,nan,
461,erechim,rio grande do sul,brazil,south america,nan,
462,montenegro,rio grande do sul,brazil,south america,nan,
463,nao me toque,rio grande do sul,brazil,south america,nan,
464,Mercure Salvador Rio Vermelho,bahia,brazil,south america,(4.0),2950
465,ibis Salvador Rio Vermelho,bahia,brazil,south america,(4.0),2723
466,Novotel Salvador Rio Vermelho,bahia,brazil,south america,(3.5),1674
467,ibis Salvador Airport,bahia,brazil,south america,(4.0),1694
468,Mercure Salvador Boulevard,bahia,brazil,south america,(4.0),1063
469,Mercure Salvador Pituba,bahia,brazil,south america,(4.0),689
470,ibis Vitória da Conquista,bahia,brazil,south america,(4.0),447
471,Novotel Salvador Hangar Aeroporto,bahia,brazil,south america,(4.5),1115
472,ibis Feira de Santana,bahia,brazil,south america,(4.0),429
473,Ibis Styles Vitória da Conquista,bahia,brazil,south america,(4.0),54
474,Conect Smart Salvador by AccorHotels,bahia,brazil,south america,nan,
475,Ibis Styles Alagoinhas,bahia,brazil,south america,(4.5),79
476,salvador,bahia,brazil,south america,nan,
477,vitória da conquista,bahia,brazil,south america,nan,
478,feira  de santana,bahia,brazil,south america,nan,
479,alagoinhas,bahia,brazil,south america,nan,
480,itaparica,bahia,brazil,south america,nan,
481,Grand Mercure Recife Boa Viagem,pernambuco,brazil,south america,(4.0),2275
482,ibis Recife Aeroporto,pernambuco,brazil,south america,(4.5),926
483,ibis Recife Boa Viagem,pernambuco,brazil,south america,(4.0),1998
484,Mercure Recife Navegantes Hotel,pernambuco,brazil,south america,(3.5),1087
485,ibis Petrolina,pernambuco,brazil,south america,(4.0),627
486,ibis budget Recife Jaboatão,pernambuco,brazil,south america,nan,
487,ibis Styles Garanhuns,pernambuco,brazil,south america,nan,
488,recife,pernambuco,brazil,south america,nan,
489,petrolina,pernambuco,brazil,south america,nan,
490,garanhuns,pernambuco,brazil,south america,nan,
491,pina,pernambuco,brazil,south america,nan,
492,ibis Maceio Pajucara,alagoas,brazil,south america,(4.0),1688
493,Mercure Maceio Pajucara,alagoas,brazil,south america,(4.0),1503
494,Ibis budget Maceió Pajuçara,alagoas,brazil,south america,nan,
495,ibis Arapiraca,alagoas,brazil,south america,(4.0),120
496,maceio,alagoas,brazil,south america,nan,
497,arapiraca,alagoas,brazil,south america,nan,
498,ibis Fortaleza Praia de Iracema,ceará,brazil,south america,(4.0),2504
499,ibis budget Fortaleza Praia de Iracema,ceará,brazil,south america,nan,
500,Mercure Fortaleza Meireles,ceará,brazil,south america,(4.0),1123
501,ibis Fortaleza Centro De Eventos,ceará,brazil,south america,(4.5),361
502,ibis Caucaia Porto do Pecém,ceará,brazil,south america,nan,
503,ibis Styles Maracanaú,ceará,brazil,south america,(4.0),63
504,Ibis Juazeiro do Norte,ceará,brazil,south america,(4.5),26
505,fortaleza,ceará,brazil,south america,nan,
506,caucaia,ceará,brazil,south america,nan,
507,maracanau,ceará,brazil,south america,nan,
508,juazeiro do norte,ceará,brazil,south america,nan,
509,ibis budget Belem,pará,brazil,south america,(3.5),1190
510,Ibis Belém Airport,pará,brazil,south america,(3.5),772
511,Mercure Belem Boulevard,pará,brazil,south america,(4.0),725
512,Grand Mercure Belém do Pará,pará,brazil,south america,(4.0),229
513,Ibis Styles Belém Nazaré,pará,brazil,south america,(3.5),529
514,Ibis Styles Belém Batista Campos,pará,brazil,south america,(4.0),497
515,Ibis Styles Parauapebas,pará,brazil,south america,(4.0),107
516,Ibis Parauapebas,pará,brazil,south america,(3.5),10
517,Ibis Styles Belem Hangar,pará,brazil,south america,nan,
518,Ibis Styles Belem do Pará,pará,brazil,south america,nan,
519,Ibis Budget Parauapebas,pará,brazil,south america,(4.0),4
520,belem,pará,brazil,south america,nan,
521,parauapebas,pará,brazil,south america,nan,
522,ibis Styles Brasilia Aeroporto,distrito federal,brazil,south america,(4.0),1558
523,Mercure Brasilia Leader,distrito federal,brazil,south america,(4.0),2121
524,Grand Mercure Brasilia Eixo Monumental,distrito federal,brazil,south america,(4.5),1302
525,brasilia,distrito federal,brazil,south america,nan,
526,Mercure Santiago Centro,santiago,chile,south america,(4.0),1419
527,ibis budget Santiago Providencia,santiago,chile,south america,(4.0),85
528,ibis Santiago Providencia,santiago,chile,south america,(4.0),4564
529,ibis Santiago Estacion Central,santiago,chile,south america,(3.5),2320
530,Novotel Santiago Providencia,santiago,chile,south america,(4.5),286
531,Pullman Santiago El Bosque,santiago,chile,south america,(4.5),3554
532,Pullman Santiago Vitacura,santiago,chile,south america,(4.5),2877
533,Novotel Santiago Vitacura,santiago,chile,south america,(4.0),1148
534,Novotel Santiago Las Condes,santiago,chile,south america,(4.5),3551
535,ibis Santiago Las Condes Manquehue,santiago,chile,south america,(3.5),1567
536,Novotel Arica,arica,chile,south america,nan,
537,Ibis Styles Antofagasta,antofagasta,chile,south america,nan,
538,ibis Antofagasta,antofagasta,chile,south america,(3.5),729
539,ibis budget Calama,calama,chile,south america,(3.0),110
540,ibis Calama,calama,chile,south america,(3.0),52
541,ibis Concepción,concepcion,chile,south america,(4.0),924
542,Mercure Concepción,concepcion,chile,south america,nan,
543,ibis budget Copiapo,copiapo,chile,south america,(3.5),60
544,ibis Copiapo,copiapo,chile,south america,(3.5),95
545,ibis Iquique,iquique,chile,south america,(3.5),72
546,ibis budget Iquique,iquique,chile,south america,(3.0),143
547,Novotel Puerto Montt,puerto montt,chile,south america,nan,
548,ibis Puerto Montt,puerto montt,chile,south america,(3.5),210
549,ibis Valparaiso,valparaiso,chile,south america,(4.0),2070
550,Pullman Vina del Mar San Martín,vina del mar,chile,south america,(4.0),947
551,Novotel Viña del Mar,vina del mar,chile,south america,(3.5),147
552,ibis Bogota Museo,bogota,colombia,south america,(4.0),1713
553,ibis budget Bogota Marly,bogota,colombia,south america,nan,
554,Mercure Bogota BH Zona Financiera,bogota,colombia,south america,(4.0),231
555,Mercure Bogota Bh Retiro,bogota,colombia,south america,(4.0),268
556,Sofitel Bogota Victoria Regia,bogota,colombia,south america,(4.5),1422
557,Novotel Bogotá Parque 93,bogota,colombia,south america,(4.5),2282
558,Mercure Bogotá Calle 100,bogota,colombia,south america,(4.5),813
559,ibis Cali Granada,cali,colombia,south america,(4.5),156
560,Sofitel Baru Calablanca,cartagène,colombia,south america,(5.0),543
561,Hotel Boutique Bovedas de Santa Clara By Accor,cartagène,colombia,south america,(4.5),309
562,Sofitel Legend Santa Clara Cartagena,cartagène,colombia,south america,(4.5),2775
563,ibis Cartagena Marbella,cartagène,colombia,south america,(4.0),994
564,ibis Medellin,medellin,colombia,south america,(4.0),1386
565,JO&JOE Medellín,medellin,colombia,south america,nan,
566,Novotel Medellín El Tesoro,medellin,colombia,south america,(4.5),831
567,ibis budget Barranquilla,barranquilla,colombia,south america,(3.0),13
568,ibis Barranquilla,barranquilla,colombia,south america,(4.0),68
569,Mercure Santa Marta Emile,santa marta,colombia,south america,(4.5),478
570,ibis Apartadó,apartado,colombia,south america,(4.5),27
571,ibis budget Itagüí,itagüí,colombia,south america,(4.5),64
572,ibis Chia,chia,colombia,south america,nan,
573,ibis Cúcuta,cucuta,colombia,south america,(4.0),47
574,Mercure Alameda Quito,quito,ecuador,south america,(4.0),1012
575,Swissôtel Quito,quito,ecuador,south america,(4.5),1357
576,ibis Quito,quito,ecuador,south america,(4.5),93
577,Mercure Cayenne Royal Amazonia hotel,cayenne,french guiana,south america,(4.0),338
578,Hotel Mercure Kourou Ariatel,kourou,french guiana,south america,(4.0),21
579,ibis Asuncion,asuncion,paraguay,south america,(4.0),841
580,ibis Asuncion,ciudad del este,paraguay,south america,(4.0),841
581,Pullman Lima San Isidro,lima,peru,south america,(4.5),3912
582,Novotel Lima San Isidro,lima,peru,south america,(4.0),992
583,Swissôtel Lima,lima,peru,south america,(4.5),1682
584,Manto Hotel Lima - MGallery,lima,peru,south america,(4.5),1066
585,ibis Styles Lima San Isidro,lima,peru,south america,nan,
586,Mercure Ariosto Lima,lima,peru,south america,(4.5),117
587,ibis budget Lima Miraflores,lima,peru,south america,nan,
588,ibis Lima Larco Miraflores,lima,peru,south america,(4.0),3296
589,Pullman Lima Miraflores,lima,peru,south america,nan,
590,ibis Lima Reducto Miraflores,lima,peru,south america,(4.0),352
591,ibis Styles Lima Benavides Miraflores,lima,peru,south america,(4.5),24
592,plaza mayor,lima,peru,south america,nan,
593,Novotel Cusco,cusco,peru,south america,(4.5),2118
594,ibis Trujillo,trujillo,peru,south america,(5.0),71
595,Origins By Mantis,bijagua de upala,costa rica,south america,(4.5),45
596,ibis Montevideo Rambla,montevideo,uruguay,south america,(4.0),1929
597,ibis Styles Montevideo Biarritz,montevideo,uruguay,south america,(4.0),141
598,Hotel Costanero Montevideo - MGallery,montevideo,uruguay,south america,nan,
599,Mercure Montevideo Punta Carretas,montevideo,uruguay,south america,(4.5),896
600,Sofitel Montevideo Casino Carrasco & Spa,montevideo,uruguay,south america,(4.5),1486
601,Pullman Cayo Coco,ciego de avila,cuba,south america,(4.5),5751
602,Pullman Cayo Coco,cayo coco,cuba,south america,(4.5),5751
603,Sofitel Legend Casco Viejo - Panama City,panama city,panama,central america,nan,
604,Novotel Panama City,panama city,panama,central america,(4.0),1105
605,Raffles Seychelles,praslin,seychelles islands,africa,(4.5),1840
606,Mantis St Helena,jamestown,saint helena,africa,(4.5),101
607,Sofitel Cotonou Marina Hotel & Spa,cotonou,benin,africa,nan,
608,ibis Cotonou,cotonou,benin,africa,(4.0),313
609,Novotel Cotonou Orisha,cotonou,benin,africa,(4.0),498
610,Feline Fields By Mantis,maun,botswana,africa,nan,
611,Pullman Kinshasa Grand Hotel,kinshasa,democratic repub. of congo,africa,(4.5),636
612,Grand Hotel De Kinshasa,kinshasa,democratic repub. of congo,africa,(4.5),636
613,Pullman Lubumbashi Grand Karavia,lubumbashi,democratic repub. of congo,africa,(4.5),332
614,ibis Abidjan Plateau,abidjan,ivory  coast,africa,(3.0),399
615,Mövenpick Hotel Abidjan,abidjan,ivory  coast,africa,nan,
616,Pullman Abidjan,abidjan,ivory  coast,africa,(4.5),453
617,Novotel Abidjan,abidjan,ivory  coast,africa,(4.0),640
618,Sofitel Abidjan Hotel Ivoire,abidjan,ivory  coast,africa,(4.5),1833
619,ibis Abidjan Marcory,abidjan,ivory  coast,africa,(3.0),294
620,ibis Douala,douala,cameroon,africa,(3.5),477
621,ibis Algiers Airport,bab ezzouar,algeria,africa,(4.0),1821
622,Sofitel Algiers Hamma Garden,algiers,algeria,africa,(4.5),1995
623,ibis Algiers Airport,algiers,algeria,africa,(4.0),1821
624,Mercure Alger Aeroport,algiers,algeria,africa,(4.0),1646
625,ibis Constantine,constantine,algeria,africa,(3.5),385
626,Novotel Constantine,constantine,algeria,africa,(4.0),437
627,Royal Hotel Oran-MGallery,oran,algeria,africa,(4.5),385
628,Ibis Oran les Falaises,oran,algeria,africa,(3.0),448
629,Hotel Oran Bay By Accor,oran,algeria,africa,nan,
630,Novotel Setif,setif,algeria,africa,(4.5),185
631,ibis Setif,setif,algeria,africa,(4.0),126
632,ibis Tlemcen,tlemcen,algeria,africa,(3.5),241
633,Novotel Marsa Alam Beach Resort,marsa alam,egypt,africa,(4.5),2854
634,Mövenpick El Sokhna,ain sokhna,egypt,africa,(4.0),1998
635,Mövenpick El Gouna,el gouna,egypt,africa,(4.5),5095
636,Mövenpick Resort El Quseir,el quseir,egypt,africa,(4.5),2426
637,Rixos Alamein,alexandria,egypt,africa,(5.0),1546
638,Sofitel Legend Old Cataract Aswan,aswan,egypt,africa,(4.5),3358
639,Mövenpick Aswan,aswan,egypt,africa,(4.5),3750
640,Fairmont Nile City,cairo,egypt,africa,(4.5),5812
641,Novotel Cairo El Borg,cairo,egypt,africa,(4.0),1494
642,Sofitel Cairo Nile El Gezirah,cairo,egypt,africa,(4.5),4232
643,Novotel Cairo Airport,cairo,egypt,africa,(4.0),2340
644,Novotel Cairo 6th of October,cairo,egypt,africa,(4.5),749
645,Novotel Cairo El Borg,giza,egypt,africa,(4.0),1494
646,Mövenpick Cairo Media City,giza,egypt,africa,(4.5),2230
647,Mercure Ismailia Forsan Island Hotel,ismaïlia,egypt,africa,(4.5),476
648,Sofitel Winter Palace Luxor,luxor,egypt,africa,(4.5),2649
649,Pavillon Winter Luxor,luxor,egypt,africa,(4.5),1180
650,Swissôtel Sharm El Sheikh All Inclusive Collection,sharm el sheikh,egypt,africa,nan,
651,Rixos Sharm El Sheikh Adults Only 18+,sharm el sheikh,egypt,africa,(5.0),8555
652,Novotel Sharm El Sheikh,sharm el sheikh,egypt,africa,(4.5),5017
653,Naama Bay Promenade Beach Resort,sharm el sheikh,egypt,africa,(4.0),691
654,Mövenpick Sharm El Sheikh,sharm el sheikh,egypt,africa,(4.5),4947
655,Rixos Golf Villas And Suites Sharm El Sheikh,sharm el sheikh,egypt,africa,nan,
656,Rixos Premium Seagate,sharm el sheikh,egypt,africa,(5.0),5268
657,Mercure Hurghada Hotel,hurghada,egypt,africa,(4.5),6776
658,Rixos Premium Magawish Suites and Villas,hurghada,egypt,africa,nan,
659,Mövenpick Waterpark Resort & Spa Soma Bay,hurghada,egypt,africa,(4.0),2871
660,Movenpick Ambassador Hotel Accra,accra,ghana,africa,(4.0),1374
661,ibis Styles Accra Airport,accra,ghana,africa,(3.5),339
662,ibis Bata,bata,equatorial guinea,africa,(3.5),72
663,ibis Malabo,malabo,equatorial guinea,africa,(3.5),124
664,Sofitel Malabo Sipopo Le Golf,malabo,equatorial guinea,africa,(4.5),553
665,Fairmont Mara Safari Club,aitong,kenya,africa,(5.0),918
666,Fairmont Mount Kenya Safari Club,nanyuki,kenya,africa,(4.5),1408
667,ibis Styles Nairobi Westlands,nairobi,kenya,africa,(4.5),1422
668,Mövenpick Residences Nairobi,nairobi,kenya,africa,(5.0),1250
669,Fairmont The Norfolk,nairobi,kenya,africa,(4.5),1500
670,Mercure Nairobi Upper Hill,nairobi,kenya,africa,nan,
671,ibis Paris Porte de Montreuil,ile-de-france,france,europe,(3.0),1148
672,ibis Paris Avenue d'Italie 13th,ile-de-france,france,europe,(3.5),2240
673,ibis Styles Paris Mairie de Montreuil,ile-de-france,france,europe,(4.0),254
674,Mercure Paris Pont de Levallois Neuilly Hotel,ile-de-france,france,europe,(4.0),103
675,ibis budget Vitry sur Seine A86 bords de Seine,ile-de-france,france,europe,(2.5),225
676,Ibis Styles Paris Gennevilliers,ile-de-france,france,europe,(3.5),40
677,ibis Aulnay Paris Nord Expo,ile-de-france,france,europe,(3.5),155
678,Aparthotel Adagio Access Paris Bastille,ile-de-france,france,europe,(3.5),278
679,Mercure Paris Velizy Hotel,ile-de-france,france,europe,(4.0),836
680,ibis budget Nanterre La Defense,ile-de-france,france,europe,(3.5),404
681,ibis Paris Boulogne Billancourt,ile-de-france,france,europe,(4.0),347
682,Novotel Domaine de Maffliers-Demeures de Campagne,ile-de-france,france,europe,(3.5),1291
683,paris,ile-de-france,france,europe,nan,
684,hauts-de-seine,ile-de-france,france,europe,nan,
685,yvelines,ile-de-france,france,europe,nan,
686,essonne,ile-de-france,france,europe,nan,
687,seine-et-marne,ile-de-france,france,europe,nan,
688,seine-st-denis,ile-de-france,france,europe,nan,
689,val-d'oise,ile-de-france,france,europe,nan,
690,val-de-marne,ile-de-france,france,europe,nan,
691,ibis Marseille Timone,provence-alps-riviera,france,europe,(4.0),484
692,ibis Styles Toulon La Seyne-sur-Mer,provence-alps-riviera,france,europe,(4.0),297
693,ibis Styles Marseille Gare Saint-Charles,provence-alps-riviera,france,europe,(3.5),137
694,Aparthotel Adagio Nice Promenade des Anglais,provence-alps-riviera,france,europe,(3.5),711
695,ibis Styles Antibes,provence-alps-riviera,france,europe,(4.0),924
696,greet Hotel Marseille Centre Saint Charles,provence-alps-riviera,france,europe,(4.0),68
697,Mercury Thalasso and Spa Port Frejus,provence-alps-riviera,france,europe,(3.5),1432
698,ibis Sisteron,provence-alps-riviera,france,europe,(4.0),555
699,ibis budget Marseille Vieux Port,provence-alps-riviera,france,europe,(3.5),1832
700,ibis Marseille Bonneveine Route des Calanques,provence-alps-riviera,france,europe,(3.5),567
701,Sofitel Marseille Vieux Port,provence-alps-riviera,france,europe,(4.5),3273
702,ibis Manosque Cadarache,provence-alps-riviera,france,europe,(4.0),362
703,bouches du rhône,provence-alps-riviera,france,europe,nan,
704,alpes de haute provence,provence-alps-riviera,france,europe,nan,
705,hautes-alpes,provence-alps-riviera,france,europe,nan,
706,alpes maritimes,provence-alps-riviera,france,europe,nan,
707,var,provence-alps-riviera,france,europe,nan,
708,vaucluse,provence-alps-riviera,france,europe,nan,
709,ibis Styles Quimper,brittany,france,europe,(4.0),126
710,Mercure Brest Centre Port,brittany,france,europe,nan,
711,ibis budget Saint Brieuc Yffiniac,brittany,france,europe,(3.5),172
712,ibis Styles Brest Centre Port,brittany,france,europe,(4.0),537
713,Ibis Styles Saint Brieuc Plerin,brittany,france,europe,(4.0),176
714,Sofitel Quiberon Thalassa sea & spa,brittany,france,europe,(4.0),1803
715,ibis Styles Dinan Centre Ville,brittany,france,europe,(4.5),560
716,Hotel Mercure Brest Centre Les Voyageurs,brittany,france,europe,(4.0),196
717,Novotel Saint Brieuc Central Station,brittany,france,europe,(4.5),806
718,ibis budget Concarneau,brittany,france,europe,(3.5),369
719,ibis Styles Rennes Centre Gare - Nord,brittany,france,europe,(3.5),1045
720,hotelF1 Fougères,brittany,france,europe,(2.5),20
721,cotes-d'armor,brittany,france,europe,nan,
722,finistere,brittany,france,europe,nan,
723,ille-et-vilaine,brittany,france,europe,nan,
724,morbihan,brittany,france,europe,nan,
725,ibis Lyon Gare La Part-Dieu,rhone-alps,france,europe,(4.0),1103
726,ibis Styles Bourg en Bresse,rhone-alps,france,europe,(3.5),526
727,Hotel F1 Geneva Saint-Julien-Genevois,rhone-alps,france,europe,(2.5),53
728,ibis Styles Lyon Bron Eurexpo,rhone-alps,france,europe,(4.0),202
729,Greet Hotel Annecy Cran Gevrier,rhone-alps,france,europe,(3.5),588
730,Mercure Chambery Centre Hotel,rhone-alps,france,europe,(4.0),712
731,ibis Lyon Part Dieu Les Halles,rhone-alps,france,europe,(3.5),2079
732,hotelF1 Saint Etienne Est la Grand Croix,rhone-alps,france,europe,(3.0),29
733,ibis Styles Chambery Centre Gare,rhone-alps,france,europe,(3.5),335
734,ibis Lyon Gerland Musée des Confluences,rhone-alps,france,europe,(4.0),661
735,Hotel Le Royal Lyon-MGallery,rhone-alps,france,europe,(4.0),1886
736,Novotel Annemasse Centre Geneva Port,rhone-alps,france,europe,nan,
737,ain,rhone-alps,france,europe,nan,
738,drome,rhone-alps,france,europe,nan,
739,haute-savoie,rhone-alps,france,europe,nan,
740,isere,rhone-alps,france,europe,nan,
741,loire,rhone-alps,france,europe,nan,
742,ardeche,rhone-alps,france,europe,nan,
743,rhone,rhone-alps,france,europe,nan,
744,savoie,rhone-alps,france,europe,nan,
745,Mercure Limoges Centre,limousin,france,europe,(4.0),970
746,Novotel Limoges Le Lac,limousin,france,europe,(4.0),1032
747,ibis Égletons,limousin,france,europe,(4.0),438
748,Mercure Brive Hotel,limousin,france,europe,(3.5),604
749,ibis Styles Limoges Centre,limousin,france,europe,nan,
750,ibis budget Brive la Gaillarde,limousin,france,europe,(3.5),678
751,ibis Limoges Centre,limousin,france,europe,(4.0),740
752,ibis budget Limoges,limousin,france,europe,(3.0),823
753,Ibis budget Limoges Nord,limousin,france,europe,(4.0),320
754,ibis Limoges North,limousin,france,europe,(4.0),773
755,ibis Styles Brive La Gaillarde,limousin,france,europe,(3.5),645
756,hotelF1 Brive Ussac,limousin,france,europe,(2.0),51
757,corrèze (département),limousin,france,europe,nan,
758,haute-vienne,limousin,france,europe,nan,
759,ibis Compiègne,picardy,france,europe,(3.5),343
760,ibis Beauvais Airport,picardy,france,europe,(4.0),524
761,ibis budget Saint-Quentin Centre Gare,picardy,france,europe,(4.5),490
762,ibis Styles Beauvais,picardy,france,europe,(4.0),65
763,Mercure Amiens Cathedrale Hotel,picardy,france,europe,(4.0),1571
764,ibis Saint Quentin Basilique,picardy,france,europe,(4.0),479
765,ibis Creil Sur Oise,picardy,france,europe,(3.5),192
766,Hôtel Mercure Chantilly Resort & Conventions,picardy,france,europe,(3.0),331
767,ibis budget Roye,picardy,france,europe,(3.5),212
768,hotelF1 Amiens Est,picardy,france,europe,(2.5),44
769,Mercure Compiègne Sud Hotel,picardy,france,europe,(4.0),323
770,"Ibis Albert, Pays De La Somme",picardy,france,europe,(4.0),671
771,aisne,picardy,france,europe,nan,
772,oise,picardy,france,europe,nan,
773,somme,picardy,france,europe,nan,
774,ibis budget Vichy,auvergne,france,europe,(3.5),327
775,ibis Issoire,auvergne,france,europe,(3.5),356
776,ibis budget Clermont-Ferrand Le Brézet Airport,auvergne,france,europe,(3.0),225
777,ibis budget Issoire,auvergne,france,europe,(4.0),634
778,ibis Styles Moulins Centre,auvergne,france,europe,(4.0),321
779,ibis Clermont Ferrand Nord Riom,auvergne,france,europe,(4.0),426
780,ibis budget Thiers,auvergne,france,europe,(3.5),84
781,Novotel Suites Clermont Ferrand Polydome,auvergne,france,europe,(4.5),1079
782,ibis budget Clermont Ferrand Nord Riom,auvergne,france,europe,(3.5),542
783,ibis Moulins South,auvergne,france,europe,(4.5),16
784,ibis Styles Le Puy en Velay,auvergne,france,europe,(4.5),877
785,ibis budget Saint Pourcain sur Sioule,auvergne,france,europe,(4.0),268
786,cantal,auvergne,france,europe,nan,
787,allier,auvergne,france,europe,nan,
788,haute-loire,auvergne,france,europe,nan,
789,puy-de-dome,auvergne,france,europe,nan,
790,hotelF1 Vesoul,franche-comte,france,europe,(1.5),48
791,ibis budget Montbéliard,franche-comte,france,europe,(4.0),337
792,ibis budget Besancon Centre Gare,franche-comte,france,europe,(3.5),470
793,ibis Besançon Centre City,franche-comte,france,europe,(4.0),760
794,ibis budget Pontarlier,franche-comte,france,europe,(4.0),243
795,Mercure Belfort Centre,franche-comte,france,europe,(4.0),176
796,ibis budget Besançon Ouest,franche-comte,france,europe,(2.5),336
797,ibis budget Lons le Saunier,franche-comte,france,europe,(4.0),409
798,Novotel Belfort Centre Atria,franche-comte,france,europe,(4.0),439
