,hotel_names,city_names,counrtys,contenantels,ratings,reviews
84,Mövenpick Jumeirah Lakes Towers,dubai,united arab emirates,middle east,(4.5),3139
85,Grand Plaza Mövenpick Media City,dubai,united arab emirates,middle east,(5.0),1815
86,jumeirah beach residence,dubai,united arab emirates,middle east,nan,
87,dubai al barsha,dubai,united arab emirates,middle east,nan,
88,the palm jumeirah dubai,dubai,united arab emirates,middle east,nan,
89,dubai international airport,dubai,united arab emirates,middle east,nan,
90,"deira, dubai",dubai,united arab emirates,middle east,nan,
91,mall of the emirates dubai,dubai,united arab emirates,middle east,nan,
92,dubai marina,dubai,united arab emirates,middle east,nan,
93,Majlis Grand Mercure Residence Abu Dhabi,abu dhabi,united arab emirates,middle east,(4.5),578
94,Sofitel Abu Dhabi Corniche,abu dhabi,united arab emirates,middle east,(4.5),5179
95,Rixos Marina Abu Dhabi,abu dhabi,united arab emirates,middle east,nan,
96,Aparthotel Adagio Abu Dhabi Al Bustan,abu dhabi,united arab emirates,middle east,(4.5),1091
97,Novotel Abu Dhabi Al Bustan,abu dhabi,united arab emirates,middle east,(4.5),2590
98,Rixos Premium Saadiyat Island,abu dhabi,united arab emirates,middle east,(4.5),3558
99,Club Privé By Rixos Saadiyat,abu dhabi,united arab emirates,middle east,nan,
100,Fairmont Bab Al Bahr - Abu Dhabi,abu dhabi,united arab emirates,middle east,(4.5),7072
101,Novotel Abu Dhabi Gate,abu dhabi,united arab emirates,middle east,(4.5),1399
102,ibis Abu Dhabi Gate,abu dhabi,united arab emirates,middle east,(4.5),1277
103,ibis Styles Sharjah,sharjah,united arab emirates,middle east,(4.5),385
104,PULLMAN SHARJAH,sharjah,united arab emirates,middle east,(4.5),219
105,Novotel Sharjah Expo Centre,sharjah,united arab emirates,middle east,(5.0),845
106,ibis Dubai Al Rigga,sharjah,united arab emirates,middle east,(4.5),2733
107,ibis Dubai Deira City Centre,sharjah,united arab emirates,middle east,(4.0),2586
108,Novotel Dubai Deira City Centre,sharjah,united arab emirates,middle east,(4.5),2788
109,Novotel Suites Dubai Mall of the Emirates,sharjah,united arab emirates,middle east,(4.5),3686
110,ibis Dubai Mall of the Emirates,sharjah,united arab emirates,middle east,(4.5),2549
111,Aparthotel Adagio Fujairah,fujairah,united arab emirates,middle east,(5.0),133
112,Novotel Fujairah,fujairah,united arab emirates,middle east,(4.5),894
113,ibis Fujairah,fujairah,united arab emirates,middle east,(4.5),390
114,Fairmont Fujairah Beach Resort,fujairah,united arab emirates,middle east,(4.5),2684
115,Marjan Island Resort & Spa - Managed by ACCOR,ras al khaimah,united arab emirates,middle east,(4.5),3436
116,Mövenpick Resort Al Marjan Island,ras al khaimah,united arab emirates,middle east,(4.5),588
117,Rixos Bab Al Bahr,ras al khaimah,united arab emirates,middle east,nan,
118,Fairmont Fujairah Beach Resort,ras al khaimah,united arab emirates,middle east,(4.5),2684
119,Fairmont Ajman,ajman,united arab emirates,middle east,(4.5),3304
120,Mercure Grand Jebel Hafeet Al Ain Hotel,al ain,united arab emirates,middle east,(4.0),1565
121,Sofitel Bahrain Zallaq Thalassa sea & spa,zallaq,bahrain,middle east,(5.0),4935
122,ibis Styles Manama Diplomatic Area,manama,bahrain,middle east,(4.5),160
123,ibis Seef Manama,manama,bahrain,middle east,(4.0),516
124,Novotel Bahrain Al Dana Resort,manama,bahrain,middle east,(4.5),1325
125,Mercure Grand Hotel Seef - All Suites,manama,bahrain,middle east,(4.5),1136
126,Mövenpick Bahrain,manama,bahrain,middle east,(4.5),987
127,Sofitel Bahrain Zallaq Thalassa sea & spa,manama,bahrain,middle east,(5.0),4935
128,Al Areen Palace & Spa by Accor,manama,bahrain,middle east,(5.0),1819
129,Mövenpick Beirut,beirut,lebanon,middle east,(4.5),1254
130,Sofitel Beirut Le Gabriel,beirut,lebanon,middle east,(4.5),338
131,Peppers Christchurch Clearwater Resort,"south island, new zealand",new zealand,australia pacific,(4.0),1147
132,Novotel Christchurch Cathedral Square,"south island, new zealand",new zealand,australia pacific,(4.0),1453
133,BreakFree The Point Queenstown,"south island, new zealand",new zealand,australia pacific,(4.0),426
134,ibis Styles Invercargill,"south island, new zealand",new zealand,australia pacific,(3.5),396
135,ibis Christchurch,"south island, new zealand",new zealand,australia pacific,(4.0),1217
136,BreakFree on Cashel Christchurch,"south island, new zealand",new zealand,australia pacific,(4.0),3476
137,Peppers Bluewater Resort Lake Tekapo,"south island, new zealand",new zealand,australia pacific,(3.5),4682
138,Novotel Christchurch Airport,"south island, new zealand",new zealand,australia pacific,(4.5),193
139,Novotel Queenstown Lakeside,"south island, new zealand",new zealand,australia pacific,(4.0),3937
140,Mercure Queenstown Resort,"south island, new zealand",new zealand,australia pacific,(4.0),1901
141,Peppers Beacon Queenstown,"south island, new zealand",new zealand,australia pacific,(4.0),2026
142,Hotel St Moritz Queenstown - MGallery,"south island, new zealand",new zealand,australia pacific,(4.5),2594
143,lake tekapo,"south island, new zealand",new zealand,australia pacific,nan,
144,christchurch,"south island, new zealand",new zealand,australia pacific,nan,
145,invercargill,"south island, new zealand",new zealand,australia pacific,nan,
146,queenstown,"south island, new zealand",new zealand,australia pacific,nan,
147,Mövenpick Hotel Auckland,"north island, new zealand",new zealand,australia pacific,nan,
148,The Sebel Auckland Manukau,"north island, new zealand",new zealand,australia pacific,(4.5),155
149,Novotel Rotorua Lakeside,"north island, new zealand",new zealand,australia pacific,(4.0),3233
150,"Fable Auckland, MGallery","north island, new zealand",new zealand,australia pacific,(4.5),1028
151,ibis Auckland Ellerslie,"north island, new zealand",new zealand,australia pacific,(4.0),797
